# MEAN_SAMPLE_SIZE = 321
GENE_SET       NGENES           MU            P
R-HSA-9679191      11    -0.031188      0.54119
R-HSA-9710421       4     -0.43882      0.80993
R-HSA-9843940       9      0.56869     0.043998
R-HSA-9844594       7      0.10215      0.39347
R-HSA-9845323       7      0.22096       0.2794
R-HSA-1912408       7     -0.40887      0.86024
R-HSA-203927        4     -0.15298      0.62011
R-HSA-2559585       7    -0.043203      0.54549
R-HSA-4086398      21      0.16991      0.21818
R-HSA-426486        2       -1.174      0.95137
R-HSA-426496        4     -0.83526      0.95249
R-HSA-5578749       9     -0.13008      0.65183
R-HSA-5687128       8     -0.16041      0.67493
R-HSA-8853884       8     -0.20652      0.72037
R-HSA-8934593       7     -0.19456      0.69657
R-HSA-8936459       7     -0.47325      0.89465
R-HSA-8943723       4     -0.83526      0.95249
R-HSA-8948700       4     -0.83526      0.95249
R-HSA-8986944       5     -0.30993      0.75574
R-HSA-9018519      21      0.42935     0.024574
R-HSA-9022692       8     0.074271      0.41683
R-HSA-9029569       6     -0.65682      0.94611
R-HSA-9725371       7     0.054733      0.44245
R-HSA-9759811       4     -0.83526      0.95249
R-HSA-9768778       4     -0.83526      0.95249
R-HSA-9824594       5     -0.94042      0.98221
R-HSA-9839394       8     -0.47013      0.90813
R-HSA-451308        7      0.27799      0.23102
R-HSA-500657        6      0.81112      0.02347
R-HSA-6781823       8      0.66165     0.030643
R-HSA-6781827       8      0.82508    0.0098061
R-HSA-6782135      12      0.77984    0.0034518
R-HSA-6782210      11      0.86816    0.0019925
R-HSA-212436       37      0.10515      0.26402
R-HSA-8939902       7      0.83925     0.013195
R-HSA-1295596       3     -0.68266      0.88148
R-HSA-499943        7      0.71602     0.029085
R-HSA-8955332       7     -0.35866      0.82867
R-HSA-432142        6     -0.20468      0.69194
R-HSA-77289         4      0.31337      0.26542
R-HSA-381426       16      0.24901      0.15962
R-HSA-8957275      16      0.24901      0.15962
R-HSA-8964038       3     -0.84193      0.92762
R-HSA-9845614       5       1.2211    0.0031622
R-HSA-166665        3     -0.78043      0.91177
R-HSA-977606        9     -0.69173      0.98078
R-HSA-8866376       3      0.88416     0.062834
R-HSA-5689901       4      0.93945      0.03013
R-HSA-73980         4       1.1874    0.0087773
R-HSA-749476        7       0.9586    0.0056029
R-HSA-9013148      43      0.28122     0.032726
R-HSA-9013149      54      0.36274    0.0038975
R-HSA-3322077       2     -0.82656      0.87878
R-HSA-1059683       3      -0.5926      0.84765
R-HSA-110056        3      -0.5926      0.84765
R-HSA-112411        3      -0.5926      0.84765
R-HSA-1266695       2    -0.093843      0.55279
R-HSA-5673001      30      0.50572    0.0028032
R-HSA-6783783       2      0.37703      0.29695
R-HSA-6785807       9     -0.14148      0.66429
R-HSA-6788467       3     -0.15238      0.60407
R-HSA-877300        9      0.38452      0.12434
R-HSA-877312        2     -0.32078      0.67496
R-HSA-8983432       3     -0.89931      0.94034
R-HSA-8984722       2      -1.0415      0.92961
R-HSA-9020591       2      -1.0129      0.92399
R-HSA-9020956       2      -1.0415      0.92961
R-HSA-909733        6      0.55131      0.08844
R-HSA-912694        2     -0.32078      0.67496
R-HSA-9674555       4      -1.0894      0.98532
R-HSA-9705671      16     -0.10495      0.66268
R-HSA-9833109       3     -0.26763      0.67851
R-HSA-2586552       2      0.15411      0.41374
R-HSA-180024        6     -0.12742      0.62252
R-HSA-6804114       2     0.021083      0.48811
R-HSA-9617828       3      0.50677      0.19004
R-HSA-1296041       7      0.93479    0.0066952
R-HSA-163359        6       0.3169       0.2188
R-HSA-202040        6      0.70866     0.041348
R-HSA-381676        8      0.83343    0.0092041
R-HSA-392170        5       1.3325    0.0014431
R-HSA-392451        5      0.46825      0.14754
R-HSA-392851        4      0.95015     0.028697
R-HSA-400042        7       1.3107   0.00026234
R-HSA-416476       25      0.34299     0.043767
R-HSA-416482       24      0.25022      0.11049
R-HSA-418217        5      0.73569      0.04998
R-HSA-418555       19      0.20955      0.18081
R-HSA-418592        7      0.59466     0.057877
R-HSA-418594       24      0.55859    0.0031223
R-HSA-418597       13      0.49482     0.037204
R-HSA-420092        6      0.79099     0.026341
R-HSA-428930        7      0.81536     0.015519
R-HSA-432040        6       0.3169       0.2188
R-HSA-456926        9      0.56983     0.043716
R-HSA-6814122       9       1.1029   0.00047013
R-HSA-8964315       4      0.95015     0.028697
R-HSA-8964616       5       0.6062     0.087629
R-HSA-9009391      10       1.5012   1.0304e-06
R-HSA-9634597       7      0.68049     0.035899
R-HSA-9660821       8       0.4116      0.12217
R-HSA-997272        7      0.93479    0.0066952
R-HSA-391908        2       1.2404     0.039704
R-HSA-1483191       9      0.83009    0.0063825
R-HSA-425366        5      0.15176      0.36717
R-HSA-4085001       6      0.33706      0.20469
R-HSA-9683673       3     -0.56581      0.83646
R-HSA-9694719       3     -0.56581      0.83646
R-HSA-977068        3     0.043295      0.47011
R-HSA-9840309       3     -0.02219      0.51533
R-HSA-162791        2    -0.082776      0.54659
R-HSA-3214847       7      0.47266      0.10555
R-HSA-9772755       8     0.044582      0.44983
R-HSA-9010553      15   -0.0097662      0.51507
R-HSA-1483166       8      0.55031     0.059792
R-HSA-3295583       6      0.46444      0.12763
R-HSA-2022090      17      0.26468      0.13761
R-HSA-8874081      10     -0.20263      0.73916
R-HSA-8948216      15      0.14089      0.29268
R-HSA-73621         4      0.56508      0.12921
R-HSA-1442490      14      0.34156      0.10067
R-HSA-432722       13      0.42976     0.060626
R-HSA-1483213       3      0.49149      0.19731
R-HSA-189085        2     -0.19682      0.60962
R-HSA-191859        7     -0.60924      0.94651
R-HSA-9754678       2      0.43966      0.26705
R-HSA-5576894       3       1.2996     0.012193
R-HSA-1221632       5      0.43023      0.16802
R-HSA-8980692      36      0.59317   0.00019001
R-HSA-9013026      21       0.5815    0.0038638
R-HSA-9013106      23      0.72099    0.0002742
R-HSA-9013404      18      0.33645     0.076727
R-HSA-9013406      15      0.39887     0.061194
R-HSA-9013408      17      0.50552     0.018566
R-HSA-9013409      13      0.26801      0.16694
R-HSA-9013420      15      0.56268     0.014656
R-HSA-9013423      19      0.21004      0.17995
R-HSA-9013424      10      0.41407     0.095196
R-HSA-9696264       8      0.75275     0.016623
R-HSA-9696270       7      0.96648    0.0052946
R-HSA-9696273       6      0.19464      0.31676
R-HSA-549127        2        0.669      0.17205
R-HSA-977347        2     -0.11386      0.56396
R-HSA-1912399       2     -0.86953       0.8906
R-HSA-1912420       5      0.49545      0.13396
R-HSA-2197563       2      0.40266      0.28453
R-HSA-2979096       6      0.40181       0.1625
R-HSA-350054        5      0.39647      0.18767
R-HSA-5083630       2     -0.86953       0.8906
R-HSA-9013695       5      0.20344      0.32459
R-HSA-5696395       8      0.52037     0.070533
R-HSA-5696400       8      0.32081       0.1821
R-HSA-1679131       3      0.28575      0.31033
R-HSA-383280       13      0.25225      0.18239
R-HSA-9616222       5     -0.27966      0.73413
R-HSA-629594        3      0.16934      0.38464
R-HSA-629597        2     0.080862      0.45448
R-HSA-8941237       3      0.23712      0.34064
R-HSA-193648       16      0.28119      0.13034
R-HSA-2995383       2     0.093601      0.44735
R-HSA-381038        5      0.28161      0.26444
R-HSA-4419969       5    -0.053057      0.54722
R-HSA-6802952      18       0.8108   0.00029092
R-HSA-70895         3     -0.11465      0.57871
R-HSA-5626467       6      0.25262      0.26803
R-HSA-373753        9      0.66212     0.023744
R-HSA-375165        7     0.076227      0.42008
R-HSA-445095        8    -0.012104      0.51366
R-HSA-1251985       6      0.17056      0.33805
R-HSA-2122948       8       0.9522    0.0035382
R-HSA-2644606       7      0.93929    0.0064754
R-HSA-2894862       7      0.93929    0.0064754
R-HSA-9013507       5      0.95888     0.016012
R-HSA-9013700       3      0.18128      0.37676
R-HSA-9839383       2     -0.60486      0.80383
R-HSA-611105        5      0.77638     0.041279
R-HSA-71403         4     -0.73899      0.93029
R-HSA-9854311       2     -0.17238       0.5963
