# MEAN_SAMPLE_SIZE = 321
GENE_SET       NGENES           MU            P
R-HSA-1489509       3       0.9443     0.050965
R-HSA-2029485       5      0.30256      0.24935
R-HSA-2871809       4        1.033     0.019416
R-HSA-422356        6       1.5675   6.1604e-05
R-HSA-5218921       6      0.27086      0.25371
R-HSA-5607763       3       1.3519    0.0096015
R-HSA-9664323       6      0.12451      0.38018
R-HSA-420499        5      0.81873      0.03357
R-HSA-445355        8      -0.1215      0.63445
R-HSA-3232142       6     -0.36103      0.81097
R-HSA-9682706       2      0.41025       0.2809
R-HSA-9694686       2      0.41025       0.2809
R-HSA-390650        2     -0.44902      0.73729
R-HSA-181429        7       0.4902     0.097555
R-HSA-212676        7       0.4902     0.097555
R-HSA-159227        6     -0.43411      0.85619
R-HSA-159230        6     -0.43411      0.85619
R-HSA-165054        5     -0.36082      0.79011
R-HSA-168271        6      0.14041      0.36545
R-HSA-168276        6      0.14041      0.36545
R-HSA-168333        5     -0.36082      0.79011
R-HSA-170822        6     -0.38282       0.8258
R-HSA-180746        5     -0.36082      0.79011
R-HSA-180910        7      0.28299      0.22701
R-HSA-3108214      10      0.29685      0.17394
R-HSA-3371453      11    -0.020269       0.5268
R-HSA-4085377       5     -0.36082      0.79011
R-HSA-4551638       8   -0.0040159      0.50453
R-HSA-4570464       5     -0.36082      0.79011
R-HSA-4615885       6     -0.39618      0.83408
R-HSA-5619107       6     -0.38282       0.8258
R-HSA-416993        8     0.075552      0.41539
R-HSA-168138        2      0.22243      0.37655
R-HSA-5358493       2      0.33187      0.31941
R-HSA-5362517       4       1.1072       0.0134
R-HSA-425381        2      0.94681     0.090286
R-HSA-9646399       4      0.90136     0.035716
R-HSA-5661270       2       2.0023    0.0023154
R-HSA-110314        4       1.7536   0.00022642
R-HSA-264876        5      0.91406     0.020482
R-HSA-3214858       5    -0.087714      0.57775
R-HSA-8939243       5    -0.062212      0.55532
R-HSA-416550        2       -1.303      0.96731
R-HSA-416572        4      -1.1409      0.98875
R-HSA-1855167       2       0.1801      0.39948
R-HSA-9032759       3      0.27824      0.31493
R-HSA-111933        2     -0.10797      0.56068
R-HSA-450520        2     -0.10797      0.56068
R-HSA-5668599       3     -0.10179      0.56998
R-HSA-112308        5      0.36485       0.2073
R-HSA-9843970       6      0.98965    0.0076723
R-HSA-418889        3      0.51363      0.18683
R-HSA-426048        2        1.917     0.003353
R-HSA-5083635      15      0.12177      0.31875
R-HSA-5173214      15      0.12177      0.31875
R-HSA-9854907       2      -1.0002      0.92138
R-HSA-9854909       2     -0.81331      0.87497
R-HSA-428542        5     0.066149      0.44136
R-HSA-9010642       2     -0.35524       0.6923
R-HSA-9830674       7      0.21554      0.28425
R-HSA-373752        8      0.69935     0.023962
R-HSA-8985586       3      0.09075      0.43755
R-HSA-418990       15      0.51226     0.024323
R-HSA-390666        3      0.64088      0.13349
R-HSA-9613829       2      0.06273      0.46465
R-HSA-2022854       4      0.31679      0.26318
R-HSA-388841        2     -0.13483      0.57561
R-HSA-196299        4     -0.22242      0.67178
R-HSA-4641262       6    -0.048985      0.54775
R-HSA-5339716       4     -0.22242      0.67178
R-HSA-5358747       4     -0.22242      0.67178
R-HSA-5358749       4     -0.22242      0.67178
R-HSA-5358751       4     -0.22242      0.67178
R-HSA-5358752       4     -0.22242      0.67178
R-HSA-5467337       4     -0.22242      0.67178
R-HSA-5467340       4     -0.22242      0.67178
R-HSA-5467348       4     -0.22242      0.67178
R-HSA-9683610       3      0.14473      0.40104
R-HSA-9694631       5      0.19252      0.33343
R-HSA-162592        2       1.8925    0.0037207
R-HSA-197264        4      0.22283      0.32792
R-HSA-5685938       6      0.87901     0.015654
R-HSA-5693616       6       1.0642      0.00457
R-HSA-6804756       9      0.91793    0.0029453
R-HSA-9709570       5       1.0931    0.0072564
R-HSA-879518        3       1.0393      0.03592
R-HSA-2032785       3     -0.35534      0.73088
R-HSA-2173796       4      0.29345      0.27864
R-HSA-5578768       3     -0.55925      0.83364
R-HSA-8940973       4       1.3095    0.0044082
R-HSA-9619665       5      0.18727       0.3377
R-HSA-422085        3    0.0090933      0.49372
R-HSA-6811438      11      0.80577    0.0037665
R-HSA-9830364       5     0.040176      0.46421
R-HSA-1368082       5     0.048052      0.45722
R-HSA-2122947       6      0.67695     0.048641
R-HSA-2151201       6      0.61253     0.066757
R-HSA-2426168       8      0.22151      0.26549
R-HSA-381340       11     0.062092      0.41858
R-HSA-400206        4      0.29928      0.27473
R-HSA-1296052       3     -0.99304      0.95728
R-HSA-2142850       2      0.45747      0.25883
R-HSA-9753281       5      0.81799     0.033694
R-HSA-201688        2      0.29788      0.33678
R-HSA-4086400       2      0.29788      0.33678
R-HSA-5368598       3       0.9144     0.056621
R-HSA-9673324       2      0.29788      0.33678
R-HSA-110312        3       1.2806     0.013276
R-HSA-110320        3       1.2806     0.013276
R-HSA-174411        3      0.10744      0.42618
R-HSA-176187        3       1.2806     0.013276
R-HSA-5651801       3       1.2806     0.013276
R-HSA-5655862       4       1.1827    0.0090035
R-HSA-5656121       4      0.85124     0.044333
R-HSA-5656169       6      0.83502     0.020409
R-HSA-5685942       6       1.3459   0.00048889
R-HSA-5696397       4       1.1827    0.0090035
R-HSA-69091         2     -0.18297      0.60209
R-HSA-166663        2     -0.43053      0.72869
R-HSA-3000480       3     -0.53168      0.82145
R-HSA-420029        3      0.30345      0.29958
R-HSA-388844        7      0.33938      0.18461
R-HSA-9014843       2      0.53902      0.22294
R-HSA-399719        9      0.35145      0.14586
R-HSA-438066       10      0.45931     0.073185
R-HSA-442982        8      0.53547     0.064945
R-HSA-447038        2      0.81912      0.12335
R-HSA-8849932      10      0.38792      0.10996
R-HSA-9609736       7      0.61066     0.053086
R-HSA-9617324       7      0.61066     0.053086
R-HSA-2024101       2      0.60719      0.19525
R-HSA-3899300       2    -0.081375      0.54581
R-HSA-5339700       2     -0.76106      0.85911
R-HSA-5635838       7      0.30269       0.2123
R-HSA-418885        6     -0.14788      0.64141
R-HSA-5620912      15      0.13666      0.29842
R-HSA-2514853       3     -0.74102      0.90034
R-HSA-71336         2      0.61688       0.1915
R-HSA-109704        5     0.043705      0.46107
R-HSA-5654712       3     -0.85134      0.92983
R-HSA-5654719       2       -1.479      0.98177
R-HSA-5654720       2     -0.76986      0.86187
R-HSA-5654733       2     -0.76986      0.86187
R-HSA-936440        5    -0.074246      0.56593
R-HSA-2468052       3     -0.12002      0.58234
R-HSA-2470946       2     0.073013      0.45888
R-HSA-9667769       3     -0.57026      0.83836
R-HSA-977443        6      0.73137     0.039249
R-HSA-2565942       9     0.054119      0.43558
R-HSA-380259        8     0.095238      0.39394
R-HSA-380284        8     0.095238      0.39394
R-HSA-380320        9      0.40577      0.11199
R-HSA-8854518       8     0.095238      0.39394
R-HSA-9031628       4     -0.15859      0.62445
R-HSA-389397        2     -0.51359      0.76618
R-HSA-429947        2        1.168     0.049281
R-HSA-6804115       2        1.168     0.049281
R-HSA-9820841       2        1.168     0.049281
R-HSA-5210891       2     -0.45023      0.73785
R-HSA-5654693       2     -0.30511      0.66694
R-HSA-5654695       2       0.1061      0.44036
R-HSA-5654699       2     -0.60308      0.80314
R-HSA-5654700       3     -0.26736      0.67835
R-HSA-5654706       2     -0.30511      0.66694
R-HSA-5654727       2       0.1061      0.44036
R-HSA-5655253       2     -0.60308      0.80314
R-HSA-5655302       4      0.35875      0.23714
R-HSA-5696394       3      0.14419      0.40139
R-HSA-1483226       2      0.47859      0.24926
R-HSA-189451        2      0.20548      0.38568
R-HSA-189483        3       0.5458      0.17224
R-HSA-917937        2     -0.16065      0.58986
R-HSA-9818032       2      0.85217      0.11407
R-HSA-418886        4     -0.11596       0.5917
R-HSA-77352         2      0.61596      0.19185
R-HSA-9733709       5     0.094462      0.41636
R-HSA-9754189       3      0.44176      0.22209
R-HSA-9793380       2       1.2167      0.04265
R-HSA-9796292       5      0.53625      0.11525
R-HSA-111932        2      0.45002      0.26225
R-HSA-5673000       6    -0.041161      0.54015
R-HSA-6802946      11      0.63739     0.017258
R-HSA-6802955      11      0.63739     0.017258
R-HSA-9649948      11      0.63739     0.017258
R-HSA-9656223      11      0.63739     0.017258
R-HSA-1655829       2     -0.31216      0.67056
R-HSA-983170        3     -0.55388      0.83131
R-HSA-5620922       5      0.16981      0.35208
R-HSA-8939245       3       0.4108      0.23838
R-HSA-210744        2      0.81699      0.12396
R-HSA-166058        3      0.17048      0.38391
R-HSA-5602498       2      0.16983      0.40513
R-HSA-5603041       2      0.16983      0.40513
R-HSA-5686938       2      0.16983      0.40513
R-HSA-354192        3      0.66204      0.12576
R-HSA-354194        2      0.17731        0.401
R-HSA-372708        3      0.27604      0.31628
R-HSA-5674135       9      0.67903      0.02082
R-HSA-6802948       9      0.67903      0.02082
R-HSA-2453902       2     -0.07996      0.54502
R-HSA-399710        3      0.10618      0.42704
R-HSA-9022699       4      0.70219     0.080101
R-HSA-1592389       2     -0.66988      0.82827
R-HSA-75105         3     0.017171      0.48814
R-HSA-9861718       3      -0.3549      0.73062
R-HSA-112314        3      0.47804      0.20384
R-HSA-2046105       3     -0.20144      0.63642
R-HSA-2046106       3     -0.20144      0.63642
R-HSA-426117        3        -1.01      0.95988
R-HSA-352230        4       1.3415    0.0036477
R-HSA-442660        2      -0.5084      0.76392
R-HSA-163615        2     -0.94959      0.91035
R-HSA-164378        2     -0.94959      0.91035
R-HSA-170660        2     -0.94959      0.91035
R-HSA-170670        3      0.32095      0.28914
R-HSA-156581        2       1.0431     0.070076
R-HSA-2029482      10      0.60628     0.027605
R-HSA-9664422      11      0.65767     0.014582
R-HSA-5662702       2    -0.039181      0.52209
R-HSA-389661        3      0.30426       0.2991
R-HSA-8939247       2       1.3931     0.024411
R-HSA-75892         3      0.48324       0.2013
R-HSA-76061         3      0.66514      0.12465
R-HSA-76066         3      0.66514      0.12465
R-HSA-76071         3      0.29306      0.30587
R-HSA-975578        3       0.2938      0.30542
R-HSA-2022870       4     -0.09789      0.57761
R-HSA-418890        4     -0.20648      0.66018
R-HSA-5689896       6    -0.059379      0.55782
R-HSA-2691232       3       1.0845     0.030163
R-HSA-70171         3    -0.018387       0.5127
R-HSA-195399        2      -1.1165      0.94283
R-HSA-379726        2      0.14928       0.4164
R-HSA-8854214       4      0.29032      0.28074
R-HSA-390471        5        0.395      0.18855
R-HSA-6782315       3      0.78379     0.087301
R-HSA-916853        2     -0.55197      0.78248
R-HSA-381753        3      -0.2992      0.69785
R-HSA-9609523       2       1.1927     0.045822
R-HSA-2559582       4      0.32384      0.25859
R-HSA-6804760       2       0.7358      0.14904
R-HSA-174577        2     -0.28651      0.65733
R-HSA-6790901       2      0.89647      0.10243
R-HSA-200425        6      0.41297      0.15587
R-HSA-163685        2     -0.71601      0.84437
R-HSA-163767        2     -0.71601      0.84437
R-HSA-198753        4     -0.46045      0.82145
R-HSA-202670        3     -0.17838      0.62132
R-HSA-5675221       6      -0.3669       0.8156
R-HSA-9634600       2     -0.71601      0.84437
R-HSA-9758881       2      0.90762     0.099646
R-HSA-181430        6    -0.091706      0.58876
R-HSA-210500        8    -0.034922      0.53931
R-HSA-264642        6    -0.091706      0.58876
R-HSA-888590        3      0.30922      0.29612
R-HSA-70268         2     -0.45264      0.73896
R-HSA-450321        2      0.63499      0.18459
R-HSA-5357956       3      0.23003      0.34516
R-HSA-112126        2      -1.1472      0.94764
R-HSA-451307        2    0.0035465        0.498
R-HSA-5205685       3      0.86419     0.067221
R-HSA-2142789       2      0.82688      0.12112
R-HSA-351202        2     0.061635      0.46527
R-HSA-2730905       2       -0.765      0.86034
R-HSA-5621480       2      0.75099       0.1441
R-HSA-5621575       4     0.068691      0.44536
R-HSA-9032500       3      0.33179      0.28276
R-HSA-9615017       6      0.16335      0.34453
R-HSA-2022923       2     -0.97486        0.916
R-HSA-8931987       3      0.75335     0.095974
R-HSA-8939256       3      0.75335     0.095974
R-HSA-3299685       2      0.42228      0.27519
R-HSA-8950505       3    -0.057821      0.53989
R-HSA-199920        2     -0.20489        0.614
R-HSA-1839117       4    -0.064918      0.55165
R-HSA-72649         4        1.099     0.013972
R-HSA-72695         4        1.099     0.013972
R-HSA-72702         4        1.099     0.013972
R-HSA-373756        2       1.1026      0.05946
R-HSA-5663213       5      0.34802      0.21822
R-HSA-174437        3       1.3562    0.0094105
R-HSA-3371511       2       1.6902     0.008417
R-HSA-5358565       2       1.6902     0.008417
R-HSA-5358606       2       1.6902     0.008417
R-HSA-68962         3      0.85105     0.070234
R-HSA-69166         3      0.85105     0.070234
R-HSA-211976        3      0.27134      0.31918
R-HSA-8849471       4      0.15333      0.37955
R-HSA-74713         2     -0.45682      0.74087
R-HSA-74749         2     -0.45682      0.74087
R-HSA-74751         3     -0.64264      0.86716
R-HSA-9648895       4     -0.46176      0.82213
R-HSA-1236382       2      0.46324       0.2562
R-HSA-2179392       3      0.27429      0.31736
R-HSA-5637810       2      0.46324       0.2562
R-HSA-9665348       2      0.46324       0.2562
R-HSA-69231         5      0.43973      0.16369
R-HSA-9661069       2      0.61038      0.19401
R-HSA-9754706       2      0.46782      0.25412
R-HSA-1268020       4       1.5096    0.0012675
R-HSA-8949664       3       1.3942    0.0078697
R-HSA-9768919       4       1.0421     0.018571
R-HSA-171319        2      0.33347      0.31861
R-HSA-174414        2       1.5567     0.013853
R-HSA-174430        2    -0.069501      0.53915
R-HSA-5620916       4        1.255    0.0060354
R-HSA-3214842       8       0.8752    0.0066535
R-HSA-2151209       2       1.4829     0.017993
R-HSA-9613354       2       1.4829     0.017993
R-HSA-9619483       3       1.1859     0.019986
R-HSA-2299718       3      0.52195      0.18299
R-HSA-400511        3      0.71326      0.10834
R-HSA-9690406       4    0.0099545      0.49206
R-HSA-9823730       6      0.60838     0.068082
R-HSA-8949215       2       1.0885      0.06185
R-HSA-5683826       3      0.95995     0.048189
R-HSA-8963889       4     -0.29026      0.71922
R-HSA-69273         4      0.54586      0.13865
R-HSA-390696        2       0.5102      0.23529
R-HSA-391160        2     -0.39217      0.71042
R-HSA-6803157       3      -0.2854      0.68947
R-HSA-113501        3     -0.48195      0.79807
R-HSA-2465910       2      -1.3745      0.97404
R-HSA-5626978       2       0.8301      0.12021
R-HSA-192105        4      0.36884      0.23035
R-HSA-193807        4      0.32849       0.2556
R-HSA-5625886       3       0.9376     0.052191
R-HSA-9603798       2       1.2767     0.035499
R-HSA-5576886       3       1.7157    0.0014912
R-HSA-9673768       2       1.2764     0.035531
R-HSA-432720        2      0.17242      0.40368
R-HSA-1237112       2       0.4218      0.27542
R-HSA-168928        3     -0.25931      0.67334
R-HSA-918233        3     -0.25931      0.67334
R-HSA-933541        3     -0.25931      0.67334
R-HSA-933542        2     -0.63965      0.81716
R-HSA-174490        2     -0.33061      0.67995
R-HSA-9648002       4     -0.24286      0.68642
R-HSA-167060        2     -0.44948       0.7375
R-HSA-434316        3      0.10744      0.42619
R-HSA-9026519       2     -0.31985      0.67448
R-HSA-9028731       3     -0.07854       0.5541
R-HSA-9032845       2      0.57521      0.20797
R-HSA-167044        2     -0.77575       0.8637
R-HSA-5632681       2      0.92744     0.094827
R-HSA-2871796       3     -0.38115      0.74543
R-HSA-9029558       2     -0.13859      0.57769
R-HSA-446388        3     -0.52925      0.82035
R-HSA-196791        3      0.34688      0.27398
R-HSA-8964011       2      0.23475      0.36995
R-HSA-194306        2     -0.19326      0.60769
R-HSA-2142691       3      0.26182       0.3251
R-HSA-9018896       2     0.080902      0.45446
R-HSA-9023661       2     0.080902      0.45446
R-HSA-9026286       2     0.080902      0.45446
R-HSA-392517        3       0.9402     0.051712
R-HSA-446205        2      -1.5085      0.98355
R-HSA-381771        2      0.42746      0.27275
R-HSA-1855183       2      -0.6499      0.82098
R-HSA-9733458       3      0.63864      0.13433
R-HSA-9831926       2      0.40378      0.28399
R-HSA-425393        3     -0.22462      0.65138
R-HSA-5627123       3     -0.69973      0.88724
R-HSA-9645135       3      0.78473     0.087042
R-HSA-9702518       5      0.69791     0.059312
R-HSA-9703648       4      0.33498      0.25144
R-HSA-5676594       3     -0.50994      0.81145
R-HSA-376172        3     -0.18448      0.62534
R-HSA-420597        2      0.15862      0.41125
R-HSA-1169092       2       0.3086      0.33126
R-HSA-2428933       2      0.95636     0.088109
R-HSA-6802953       3      0.22271      0.34984
R-HSA-5625970       3       1.3791    0.0084544
R-HSA-5625740       2      -1.4972      0.98289
R-HSA-5625900       4      0.10432      0.41736
R-HSA-5627117       3     -0.74392      0.90122
R-HSA-163765        2      0.76793      0.13874
R-HSA-196780        4       0.5394      0.14034
R-HSA-936964        2      0.45271      0.26101
R-HSA-427975        2       1.3992     0.023918
R-HSA-901032        2       1.1014     0.059669
R-HSA-3371599       3      0.31626      0.29192
R-HSA-9705677       2      0.44237      0.26578
R-HSA-5693554       2       1.6723    0.0090147
R-HSA-5693579       2       1.6723    0.0090147
R-HSA-9701192       2       1.6723    0.0090147
R-HSA-9704331       2       1.6723    0.0090147
R-HSA-9704646       2       1.6723    0.0090147
R-HSA-9709603       2       1.6723    0.0090147
R-HSA-2660826       2      0.99036     0.080669
R-HSA-8935964       2      0.98208     0.082435
R-HSA-9627069       2      0.95043     0.089455
R-HSA-1181150       4      0.31961      0.26134
R-HSA-1502540       2      0.55386      0.21673
R-HSA-2173788       3      0.53224       0.1783
R-HSA-3304356       2      0.55386      0.21673
R-HSA-3311021       2      0.55386      0.21673
R-HSA-3315487       2      0.55386      0.21673
R-HSA-3656532       2      0.55386      0.21673
R-HSA-8866904       2      0.63886      0.18313
R-HSA-9022707       2       1.8082    0.0052756
R-HSA-114516        2    -0.096523      0.55429
R-HSA-5099900       3     -0.14513      0.59924
R-HSA-76005         2    -0.096523      0.55429
R-HSA-8939246       2      0.69111      0.16419
R-HSA-1660514       2      -0.3725      0.70083
R-HSA-1660516       2     -0.31727      0.67317
R-HSA-1660517       2     -0.31727      0.67317
R-HSA-844455        2      0.43738       0.2681
R-HSA-111453        2      0.26979       0.3514
R-HSA-1606341       2     -0.32816      0.67871
R-HSA-3134975       2     -0.32816      0.67871
R-HSA-3270619       2     -0.32816      0.67871
