# MEAN_SAMPLE_SIZE = 321
# TOTAL_GENES = 3123
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
R-HSA-6805567       SET       3    -0.081752    -0.002533      0.67714      0.54804
R-HSA-418359        SET       4       1.2568     0.044958      0.50118    0.0061025
R-HSA-447043        SET       3      0.62283     0.019298      0.67148      0.17686
R-HSA-428543        SET       5     -0.16633   -0.0066509       0.5112      0.62753
R-HSA-8877330       SET       3     -0.18553   -0.0057485       0.6502       0.6123
R-HSA-399954        SET       5     0.031479    0.0012587      0.52055      0.47589
R-HSA-399955        SET       7      0.33031     0.015623      0.44001      0.22645
R-HSA-399956        SET       7      0.33557     0.015872      0.43965      0.22268
R-HSA-416700        SET       5     -0.53655    -0.021455      0.52021      0.84879
R-HSA-5358346       SET       3      0.62542     0.019378      0.67045      0.17549
R-HSA-9008059       SET       4       0.7621     0.027261      0.58195     0.095221
R-HSA-5694530       SET       7     -0.31529    -0.014913      0.44037      0.76297
R-HSA-376176        SET       7      0.29106     0.013766      0.44085      0.25459
R-HSA-201681        SET       9     -0.31953    -0.017131      0.38495      0.79671
R-HSA-3238698       SET       2     -0.41097    -0.010399      0.81589      0.69275
R-HSA-373080        SET       7     -0.17929   -0.0084802      0.43876      0.65858
R-HSA-3772470       SET       4     -0.63344    -0.022659      0.58007      0.86254
R-HSA-913709        SET      12     -0.43822    -0.027117      0.33805      0.90252
R-HSA-75896         SET       3      0.34192     0.010594      0.67103       0.3052
R-HSA-9033241       SET       7     -0.46476    -0.021982      0.43073      0.85966
R-HSA-1234176       SET       6       0.3692      0.01617      0.43117      0.19596
R-HSA-399997        SET       5     -0.73652    -0.029451      0.52052      0.92141
R-HSA-9837999       SET       6     -0.92589    -0.040551      0.47437      0.97447
R-HSA-111447        SET       2     -0.67778    -0.017149      0.81773      0.79637
R-HSA-1358803       SET       2      -1.1944    -0.030221      0.81702      0.92806
R-HSA-198323        SET       2      -0.8862    -0.022423      0.81511      0.86149
R-HSA-199418        SET       3      -1.1956    -0.037046      0.66874      0.96306
R-HSA-8941332       SET       3      0.29745    0.0092163      0.65152      0.32401
R-HSA-8948751       SET       5      0.15388    0.0061531      0.51672      0.38294
R-HSA-9607240       SET       6     -0.59006    -0.025843      0.47413       0.8933
R-HSA-9634638       SET       3      0.39495     0.012237      0.66923      0.27757
R-HSA-9755511       SET       6     -0.39021     -0.01709      0.47399      0.79478
R-HSA-9856649       SET       9      0.21615     0.011589      0.38608       0.2878
R-HSA-9615933       SET       4      -1.7615    -0.063012      0.58167      0.99876
R-HSA-844456        SET       2      0.28129    0.0071173      0.81773      0.36544
R-HSA-9660826       SET       3      0.13855    0.0042929      0.66938      0.41802
R-HSA-9692916       SET       3      0.22797    0.0070633      0.67042      0.36693
R-HSA-9707564       SET       6      0.17393    0.0076177      0.47463      0.35702
R-HSA-9752946       SET       9       0.4857      0.02604      0.38703       0.1048
R-HSA-2243919       SET       4     -0.20779    -0.007433      0.58044      0.63981
R-HSA-8866654       SET       2       0.2247    0.0056855      0.82372      0.39252
R-HSA-427359        SET       2    -0.044445   -0.0011246      0.82003      0.52161
R-HSA-427413        SET       6      0.51577     0.022589      0.47519      0.13892
R-HSA-5250924       SET       4      0.33541     0.011998      0.58086      0.28184
R-HSA-73772         SET       4      0.35702     0.012771      0.58156      0.26966
R-HSA-73863         SET       4      0.35702     0.012771      0.58156      0.26966
R-HSA-77387         SET       3      0.28106    0.0087083      0.67122      0.33772
R-HSA-917977        SET       2      0.52337     0.013242      0.82253      0.26232
R-HSA-75109         SET       4      0.33184      0.01187      0.58227      0.28439
R-HSA-9841922       SET      14      0.11694    0.0078136      0.29098       0.3439
R-HSA-5689603       SET       6      0.16702    0.0073148      0.47475      0.36251
R-HSA-8873719       SET      13     -0.32395     -0.02086      0.32339      0.84172
R-HSA-77288         SET       2     -0.44419    -0.011239      0.82322      0.70524
R-HSA-77310         SET       2     -0.55621    -0.014073      0.82351      0.75027
R-HSA-77346         SET       2     -0.55621    -0.014073      0.82351      0.75027
R-HSA-77348         SET       2     -0.55621    -0.014073      0.82351      0.75027
R-HSA-77350         SET       2     -0.55621    -0.014073      0.82351      0.75027
R-HSA-5693571       SET       4      0.77446     0.027703       0.6437      0.11451
R-HSA-5693607       SET      11       0.4728     0.028015      0.31265     0.065287
R-HSA-69473         SET       8      0.68281      0.03452      0.35327     0.026674
R-HSA-9700645       SET       2      0.51536      0.01304      0.82346      0.26573
R-HSA-9725370       SET       7    -0.014359  -0.00067918      0.44041        0.513
R-HSA-9851151       SET       2        1.535      0.03884      0.82298     0.031125
R-HSA-9748787       SET       6       0.7061     0.030925      0.47456      0.06844
R-HSA-2129379       SET      10        0.142    0.0080237       0.3676      0.34966
R-HSA-2173789       SET       7      0.64077     0.030307      0.43998     0.072698
R-HSA-9673766       SET       3       1.0898     0.033767      0.67189      0.05245
R-HSA-6799198       SET       6    -0.051436   -0.0022527      0.44363      0.54615
R-HSA-425561        SET       4      0.37911     0.013561      0.58077      0.25698
R-HSA-2514859       SET       5     -0.29434     -0.01177       0.5199      0.71433
R-HSA-8876725       SET       2       1.2811     0.032416       0.8209     0.059355
R-HSA-9821002       SET       2       0.4857     0.012289      0.82067        0.277
R-HSA-6794361       SET      21    -0.095182     -0.00778      0.25264      0.64681
R-HSA-9662361       SET      16      0.13184    0.0094141      0.28762      0.32336
R-HSA-9703465       SET       6     -0.15195    -0.006655      0.47476      0.62553
R-HSA-177929        SET       5      0.82036     0.032804       0.5199     0.057343
R-HSA-179812        SET       3      0.54432     0.016865      0.67228       0.2091
R-HSA-180292        SET       3       1.0437     0.032338      0.67176     0.060184
R-HSA-180336        SET       3      0.54432     0.016865      0.67228       0.2091
R-HSA-182971        SET       9      0.55981     0.030014      0.38728     0.074211
R-HSA-212718        SET       2       1.4872     0.037629      0.82279     0.035391
R-HSA-5638303       SET       2       1.4872     0.037629      0.82279     0.035391
R-HSA-8866910       SET       3       1.0833     0.033565      0.67215     0.053568
R-HSA-5223345       SET       5    -0.037606   -0.0015038      0.52048       0.5288
R-HSA-2028269       SET       6       -1.039    -0.045506      0.47532      0.98555
R-HSA-525793        SET       7    -0.075141    -0.003554      0.43761      0.56816
R-HSA-201722        SET       9    -0.040008    -0.002145      0.38673      0.54119
R-HSA-3769402       SET      11    -0.073979   -0.0043835      0.34996       0.5837
R-HSA-4641265       SET       7     -0.32075    -0.015171       0.4378      0.76808
R-HSA-9825892       SET       4     -0.40359    -0.014437      0.58168      0.75608
R-HSA-9834899       SET       2     -0.73394     -0.01857      0.82152      0.81414
R-HSA-162588        SET       4     -0.16896   -0.0060439      0.60534      0.60991
R-HSA-5620971       SET       3     -0.16401   -0.0050816      0.72923      0.58897
R-HSA-917729        SET       5     -0.23613    -0.009442      0.53715      0.66987
R-HSA-9610379       SET       9     -0.42797    -0.022945      0.39484      0.86076
R-HSA-9615710       SET       5     -0.12809   -0.0051221      0.58595      0.58651
R-HSA-9668328       SET       2      0.50665     0.012819      0.93555      0.29408
R-HSA-9679504       SET       2      0.50665     0.012819      0.93555      0.29408
R-HSA-9694676       SET       2      0.50665     0.012819      0.93555      0.29408
R-HSA-72706         SET       7      0.44281     0.020944      0.37213      0.11708
R-HSA-1368108       SET       8     0.066068    0.0033401      0.41108      0.43616
R-HSA-1989781       SET      19     -0.35913    -0.027931      0.26768       0.9101
R-HSA-400253        SET       9      0.10974    0.0058837      0.38752      0.38853
R-HSA-9707616       SET       7    0.0017633   8.3403e-05      0.43884       0.4984
R-HSA-156827        SET       6      0.32757     0.014347      0.39479      0.20338
R-HSA-156902        SET       3      0.18601    0.0057634      0.49149      0.35256
R-HSA-192823        SET       3      0.18601    0.0057634      0.49149      0.35256
R-HSA-2408557       SET       5      0.15507    0.0062007      0.42217       0.3567
R-HSA-6791226       SET       8      0.25592     0.012938      0.37083      0.24508
R-HSA-72689         SET       5      0.23408    0.0093603      0.42215      0.28964
R-HSA-72764         SET       3      0.18601    0.0057634      0.49149      0.35256
R-HSA-9633012       SET       6     0.058013    0.0025408      0.39481      0.44159
R-HSA-975956        SET       4     0.087654    0.0031355      0.48094       0.4277
R-HSA-425986        SET       2       1.0715      0.02711      0.82029     0.095793
R-HSA-186763        SET       4     -0.33889    -0.012123      0.57726       0.7214
R-HSA-428540        SET       5     -0.30625    -0.012246      0.52018      0.72196
R-HSA-4420097       SET      13      0.10682    0.0068784      0.32242      0.37022
R-HSA-8985801       SET       4     -0.25724   -0.0092018      0.58383      0.67024
R-HSA-159231        SET       8     -0.78117    -0.039493      0.43235      0.96455
R-HSA-72203         SET       7     0.075953    0.0035925      0.46644      0.43533
R-HSA-77595         SET       4     -0.22393   -0.0080103      0.64579       0.6356
R-HSA-112382        SET       8      0.62636     0.031666      0.42927     0.072319
R-HSA-113418        SET       5      0.52752     0.021094      0.56461      0.17511
R-HSA-167152        SET       6      0.71027     0.031108      0.50545      0.08003
R-HSA-167158        SET       5      0.52752     0.021094      0.56461      0.17511
R-HSA-167160        SET       4      0.69271     0.024779      0.58182      0.11695
R-HSA-167161        SET       5      0.58634     0.023446      0.52044      0.12999
R-HSA-167162        SET       5      0.58634     0.023446      0.52044      0.12999
R-HSA-167172        SET       5      0.58634     0.023446      0.52044      0.12999
R-HSA-167200        SET       6      0.71027     0.031108      0.50545      0.08003
R-HSA-167238        SET       2       1.5782     0.039932      0.81237     0.026072
R-HSA-167242        SET       2      0.94853        0.024        1.042      0.18137
R-HSA-167243        SET       2       1.5782     0.039932      0.81237     0.026072
R-HSA-167246        SET       5      0.85005     0.033991      0.51766     0.050336
R-HSA-167287        SET       2       1.5782     0.039932      0.81237     0.026072
R-HSA-167290        SET       2       1.5782     0.039932      0.81237     0.026072
R-HSA-168325        SET       6     -0.23033    -0.010088       0.4755      0.68593
R-HSA-674695        SET       9      0.57071     0.030598       0.4028     0.078315
R-HSA-6796648       SET       7      0.26198     0.012391      0.41352      0.26321
R-HSA-6803529       SET       3    -0.051619   -0.0015994      0.77667      0.52649
R-HSA-72086         SET       5      0.52752     0.021094      0.56461      0.17511
R-HSA-72165         SET       2      0.94853        0.024        1.042      0.18137
R-HSA-73776         SET       5      0.58634     0.023446      0.52044      0.12999
R-HSA-73779         SET       5      0.58634     0.023446      0.52044      0.12999
R-HSA-75953         SET       5      0.58634     0.023446      0.52044      0.12999
R-HSA-75955         SET       7      0.72284     0.034189      0.43665     0.048973
R-HSA-76042         SET       5      0.58634     0.023446      0.52044      0.12999
R-HSA-77075         SET       4      0.69271     0.024779      0.58182      0.11695
R-HSA-8851708       SET       3      0.35143     0.010889      0.77689      0.32552
R-HSA-9670095       SET       3       0.4138     0.012821      0.67251       0.2692
R-HSA-975577        SET       6     -0.40166    -0.017591      0.44884      0.81454
R-HSA-379716        SET       2     0.036912   0.00093396      0.82176      0.48209
R-HSA-71240         SET       3      0.90938     0.028176      0.67229     0.088132
R-HSA-9823739       SET       2      0.28852    0.0073003       0.8227      0.36292
R-HSA-9832991       SET       2      0.28852    0.0073003       0.8227      0.36292
R-HSA-390522        SET       4      0.59798     0.021391      0.55737      0.14171
R-HSA-6807004       SET       4      0.19472    0.0069655      0.58149      0.36887
R-HSA-8875360       SET       3     0.070409    0.0021815      0.67138      0.45824
R-HSA-1566948       SET       5      0.18483     0.007391      0.51871      0.36081
R-HSA-210993        SET       5      -1.1551    -0.046188      0.52056      0.98672
R-HSA-5610787       SET       8     -0.14288   -0.0072233      0.43281      0.62933
R-HSA-5576892       SET      10      0.26277     0.014848       0.3192      0.20522
R-HSA-9037629       SET       5      0.76629     0.030642       0.4853      0.05722
R-HSA-1660661       SET       8      0.10732    0.0054258      0.41153      0.39714
R-HSA-159418        SET       6      0.39126     0.017136      0.47581      0.20549
R-HSA-193368        SET       6      0.48144     0.021085      0.47575      0.15582
R-HSA-3000170       SET       5     0.096193    0.0038465      0.52093      0.42676
R-HSA-446107        SET       2       1.3238     0.033496      0.79619     0.048239
R-HSA-9725554       SET       5      0.50322     0.020122      0.52065      0.16693
R-HSA-418457        SET       8     -0.39624    -0.020032      0.41152      0.83215
R-HSA-8866652       SET       5     -0.17055   -0.0068197      0.49516      0.63473
R-HSA-111957        SET       2     -0.26877   -0.0068006      0.82099       0.6283
R-HSA-445144        SET       5       1.3058     0.052217        0.516    0.0057172
R-HSA-9860927       SET       6       1.1868     0.051977      0.47156    0.0059481
R-HSA-111465        SET       4      0.21062    0.0075341       0.5804      0.35836
R-HSA-168638        SET       2      0.41744     0.010562       0.8236      0.30615
R-HSA-5213460       SET       2    -0.069331   -0.0017542      0.82323      0.53356
R-HSA-5357786       SET       2     -0.62382    -0.015784      0.82338      0.77564
R-HSA-5357905       SET       2     -0.62382    -0.015784      0.82338      0.77564
R-HSA-5675482       SET       3      -0.1461   -0.0045267       0.6711      0.58616
R-HSA-75153         SET       2      0.86988      0.02201      0.81719       0.1436
R-HSA-933543        SET       2     -0.90103    -0.022798      0.82299      0.86316
R-HSA-9013419       SET       2     -0.65936    -0.016683      0.82214       0.7887
R-HSA-9013425       SET       2     -0.65936    -0.016683      0.82214       0.7887
R-HSA-1227986       SET       4      0.55427     0.019827         0.58      0.16966
R-HSA-1236394       SET       7      0.75283     0.035608      0.43872     0.043135
R-HSA-1250196       SET       6     -0.19083   -0.0083579      0.47451      0.65621
R-HSA-1250342       SET       2     -0.21354    -0.005403      0.81691       0.6031
R-HSA-1250347       SET       3     -0.58624    -0.018164      0.66879       0.8096
R-HSA-1963640       SET       4    -0.009458  -0.00033832       0.5802       0.5065
R-HSA-1963642       SET       3      0.43066     0.013343      0.66895      0.25988
R-HSA-6785631       SET       4      0.18019    0.0064458      0.58027      0.37809
R-HSA-8847993       SET       3      0.43066     0.013343      0.66895      0.25988
R-HSA-8863795       SET       3      0.43066     0.013343      0.66895      0.25988
R-HSA-9620244       SET      10      0.19692     0.011127      0.32293      0.27103
R-HSA-9664565       SET       4    -0.009458  -0.00033832       0.5802       0.5065
R-HSA-9665686       SET       4    -0.009458  -0.00033832       0.5802       0.5065
R-HSA-1855204       SET       3       0.4704     0.014575      0.67883       0.2442
R-HSA-3928663       SET       8     -0.67278    -0.034013      0.41162      0.94887
R-HSA-9824272       SET       4      0.20814    0.0074454      0.58087      0.36006
R-HSA-75876         SET       7    -0.040174   -0.0019002      0.44029      0.53635
R-HSA-5576893       SET       5       0.6456     0.025816      0.51506      0.10507
R-HSA-5368286       SET       4      -0.9602    -0.034348      0.57271      0.95314
R-HSA-5389840       SET       4      -0.9602    -0.034348      0.57271      0.95314
R-HSA-5419276       SET       4      -0.9602    -0.034348      0.57271      0.95314
R-HSA-140875        SET       2     -0.68082    -0.017226      0.82307       0.7959
R-HSA-4641258       SET       6      0.69222     0.030317      0.47471     0.072445
R-HSA-5632684       SET       8      0.46711     0.023615      0.41195      0.12846
R-HSA-9706019       SET       2     -0.15778   -0.0039921      0.75058      0.58324
R-HSA-1474244       SET       2     -0.98737    -0.024983      0.82402      0.88454
R-HSA-186797        SET       6     -0.53222    -0.023309      0.47583      0.86828
R-HSA-2214320       SET       4      -0.2019   -0.0072224      0.57367      0.63755
R-HSA-419037        SET      13     -0.11384   -0.0073308      0.31227      0.64227
R-HSA-196819        SET       2      0.89583     0.022667      0.82285      0.13819
R-HSA-1169091       SET       5      0.55525     0.022203      0.52008      0.14289
R-HSA-1236974       SET       4      0.36549     0.013074      0.57935      0.26409
R-HSA-1236978       SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-174084        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-174113        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-174154        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-174178        SET       3       1.2083     0.037437      0.51629    0.0096669
R-HSA-174184        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-180534        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-180585        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-187577        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-195253        SET       7     -0.13789   -0.0065222      0.46404      0.61682
R-HSA-211733        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-2871837       SET       6      0.61125     0.026771      0.47468     0.098972
R-HSA-349425        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-350562        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-382556        SET       9     0.050684    0.0027174      0.35755      0.44364
R-HSA-450408        SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-4608870       SET       3      0.21912    0.0067891      0.67009      0.37185
R-HSA-4641257       SET       4      0.40298     0.014415      0.57805      0.24289
R-HSA-5362768       SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-5607761       SET       3      0.41731      0.01293      0.66706      0.26582
R-HSA-5607764       SET       5      0.56758     0.022696      0.52011      0.13762
R-HSA-5610780       SET       3       1.2088     0.037452         0.67     0.035657
R-HSA-5610783       SET       3      0.39859      0.01235      0.66916      0.27573
R-HSA-5610785       SET       3      0.39859      0.01235      0.66916      0.27573
R-HSA-5668541       SET       5     -0.22174   -0.0088667      0.52037      0.66497
R-HSA-5676590       SET       3      0.41731      0.01293      0.66706      0.26582
R-HSA-5678895       SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-68867         SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-68949         SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-69017         SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-69481         SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-69601         SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-75815         SET       3      0.39859      0.01235      0.66916      0.27573
R-HSA-8852276       SET       2      0.61258       0.0155      0.82011      0.22757
R-HSA-8854050       SET       3       0.6163     0.019095      0.67058      0.17907
R-HSA-9020702       SET       4       0.8816     0.031536      0.58112     0.064676
R-HSA-9604323       SET       3      0.20301    0.0062899      0.67015      0.38098
R-HSA-9762114       SET       3      0.39859      0.01235      0.66916      0.27573
R-HSA-9907900       SET       3      0.27279    0.0084522      0.77364       0.3622
R-HSA-114508        SET      11      0.55971     0.033165      0.35127     0.055587
R-HSA-9749641       SET       4      0.11751    0.0042035      0.64631      0.42787
R-HSA-9824585       SET      10      -0.2648    -0.014963      0.36821      0.76395
R-HSA-447041        SET       4      0.56164     0.020091      0.58422      0.16823
R-HSA-6785470       SET       2       0.2658    0.0067253      0.82313      0.37339
R-HSA-1663150       SET       5      -0.2293   -0.0091692      0.52115      0.67001
R-HSA-9840310       SET       7    -0.014175  -0.00067044      0.43255      0.51307
R-HSA-112043        SET       6      0.14854    0.0065056      0.47799        0.378
R-HSA-139853        SET       5      0.37368     0.014942      0.52115      0.23671
R-HSA-1489509       SET       3      0.62279     0.019296      0.67251      0.17724
R-HSA-2029485       SET       5    -0.030057   -0.0012019      0.52083      0.52301
R-HSA-2871809       SET       4      0.71861     0.025706      0.58158      0.10835
R-HSA-422356        SET       6       1.2206      0.05346      0.47517    0.0051255
R-HSA-5218921       SET       6     -0.10848   -0.0047511      0.47619       0.5901
R-HSA-5607763       SET       3       1.0092     0.031268      0.67152     0.066498
R-HSA-9664323       SET       6     -0.20227   -0.0088588      0.47503      0.66486
R-HSA-420499        SET       5       0.2682     0.010725      0.52025      0.30311
R-HSA-445355        SET       8     -0.29631     -0.01498      0.38748      0.77774
R-HSA-3232142       SET       6      -0.6664    -0.029186      0.45866      0.92683
R-HSA-9682706       SET       2      0.82868     0.020967      0.55058     0.066202
R-HSA-9694686       SET       2      0.82868     0.020967      0.55058     0.066202
R-HSA-390650        SET       2     -0.68319    -0.017286      0.82196      0.79703
R-HSA-181429        SET       7      0.17417    0.0082378      0.43965      0.34601
R-HSA-212676        SET       7      0.17417    0.0082378      0.43965      0.34601
R-HSA-159227        SET       6     -0.69074    -0.030252      0.50808      0.91296
R-HSA-159230        SET       6     -0.69074    -0.030252      0.50808      0.91296
R-HSA-165054        SET       5     -0.61901    -0.024752      0.52058      0.88275
R-HSA-168271        SET       6     -0.14423   -0.0063167      0.47543      0.61918
R-HSA-168276        SET       6     -0.14423   -0.0063167      0.47543      0.61918
R-HSA-168333        SET       5     -0.61901    -0.024752      0.52058      0.88275
R-HSA-170822        SET       6     -0.46025    -0.020157      0.38866      0.88179
R-HSA-180746        SET       5     -0.61901    -0.024752      0.52058      0.88275
R-HSA-180910        SET       7     0.029442    0.0013925      0.43962       0.4733
R-HSA-3108214       SET      10    -0.011781  -0.00066567      0.36798      0.51277
R-HSA-3371453       SET      11     -0.17595    -0.010426      0.31298      0.71298
R-HSA-4085377       SET       5     -0.61901    -0.024752      0.52058      0.88275
R-HSA-4551638       SET       8     -0.27551    -0.013929      0.41197      0.74816
R-HSA-4570464       SET       5     -0.61901    -0.024752      0.52058      0.88275
R-HSA-4615885       SET       6     -0.66098    -0.028949      0.47533      0.91777
R-HSA-5619107       SET       6     -0.46025    -0.020157      0.38866      0.88179
R-HSA-416993        SET       8     -0.27492    -0.013899      0.41117      0.74811
R-HSA-168138        SET       2    -0.028155  -0.00071239       0.8235      0.51364
R-HSA-5358493       SET       2     -0.13564    -0.003432      0.82191      0.56553
R-HSA-5362517       SET       4      0.81631     0.029201      0.58181     0.080351
R-HSA-425381        SET       2      0.69001     0.017459      0.77894      0.18789
R-HSA-9646399       SET       4      0.51443     0.018402      0.64481      0.21252
R-HSA-5661270       SET       2       1.6246     0.041107      0.82301     0.024235
R-HSA-110314        SET       4      0.90698     0.032444      0.44512     0.020836
R-HSA-264876        SET       5      0.54917      0.02196      0.51921      0.14514
R-HSA-3214858       SET       5     -0.48096    -0.019232      0.52035       0.8223
R-HSA-8939243       SET       5     -0.41867    -0.016741      0.51224       0.7931
R-HSA-416550        SET       2      -1.5303     -0.03872      0.82106      0.96878
R-HSA-416572        SET       4      -1.4179    -0.050721      0.58134      0.99261
R-HSA-1855167       SET       2    -0.083231   -0.0021059      0.82345      0.54025
R-HSA-9032759       SET       3     0.052392    0.0016233      0.67086      0.46888
R-HSA-111933        SET       2     -0.55586    -0.014064      0.82356      0.75012
R-HSA-450520        SET       2     -0.55586    -0.014064      0.82356      0.75012
R-HSA-5668599       SET       3     -0.52404    -0.016237      0.67255      0.78203
R-HSA-112308        SET       5    -0.095208   -0.0038071      0.51828      0.57287
R-HSA-9843970       SET       6      0.72769      0.03187      0.47436     0.062562
R-HSA-418889        SET       3      0.20207    0.0062609      0.59985      0.36812
R-HSA-426048        SET       2       1.9991     0.050583       0.7547    0.0040585
R-HSA-5083635       SET      15     -0.24923    -0.017234      0.29832      0.79823
R-HSA-5173214       SET      15     -0.24923    -0.017234      0.29832      0.79823
R-HSA-9854907       SET       2      -1.0188    -0.025778      0.82073      0.89271
R-HSA-9854909       SET       2      -1.0848    -0.027447      0.82364      0.90604
R-HSA-428542        SET       5     -0.37269    -0.014903      0.52189       0.7624
R-HSA-9010642       SET       2      -1.0224    -0.025869      0.82328      0.89281
R-HSA-9830674       SET       7     -0.13762    -0.006509      0.43992      0.62278
R-HSA-373752        SET       8      0.31661     0.016006       0.4118      0.22103
R-HSA-8985586       SET       3     -0.25107   -0.0077793      0.67183      0.64568
R-HSA-418990        SET      15     0.050342    0.0034811      0.30098      0.43359
R-HSA-390666        SET       3      0.31174    0.0096591      0.67224      0.32143
R-HSA-9613829       SET       2     -0.36129   -0.0091414       1.0422      0.63556
R-HSA-2022854       SET       4    -0.011909  -0.00042599      0.53469      0.50888
R-HSA-388841        SET       2     -0.39711    -0.010048      0.82159      0.68555
R-HSA-196299        SET       4     -0.57758    -0.020661      0.64213      0.81576
R-HSA-4641262       SET       6     -0.35311    -0.015465      0.50632       0.7572
R-HSA-5339716       SET       4     -0.57758    -0.020661      0.64213      0.81576
R-HSA-5358747       SET       4     -0.57758    -0.020661      0.64213      0.81576
R-HSA-5358749       SET       4     -0.57758    -0.020661      0.64213      0.81576
R-HSA-5358751       SET       4     -0.57758    -0.020661      0.64213      0.81576
R-HSA-5358752       SET       4     -0.57758    -0.020661      0.64213      0.81576
R-HSA-5467337       SET       4     -0.57758    -0.020661      0.64213      0.81576
R-HSA-5467340       SET       4     -0.57758    -0.020661      0.64213      0.81576
R-HSA-5467348       SET       4     -0.57758    -0.020661      0.64213      0.81576
R-HSA-9683610       SET       3     -0.16521   -0.0051188      0.66836      0.59761
R-HSA-9694631       SET       5     -0.13091   -0.0052346       0.5182      0.59971
R-HSA-162592        SET       2       1.6343     0.041351      0.81864     0.022992
R-HSA-197264        SET       4     -0.04457   -0.0015943      0.58093      0.53057
R-HSA-5685938       SET       6      0.44694     0.019575      0.39152      0.12687
R-HSA-5693616       SET       6      0.54091      0.02369      0.39127     0.083468
R-HSA-6804756       SET       9      0.48277     0.025883      0.33839     0.076893
R-HSA-9709570       SET       5      0.53615     0.021439       0.4158      0.09867
R-HSA-879518        SET       3      0.71477     0.022146      0.67137      0.14356
R-HSA-2032785       SET       3     -0.70817    -0.021942      0.66814      0.85536
R-HSA-2173796       SET       4     0.035974    0.0012868      0.58145      0.47534
R-HSA-5578768       SET       3     -0.86058    -0.026664      0.66807       0.9011
R-HSA-8940973       SET       4       1.3816     0.049421      0.45136    0.0011128
R-HSA-9619665       SET       5    -0.044526   -0.0017805       0.5207      0.53407
R-HSA-422085        SET       3     -0.29484   -0.0091354      0.67235      0.66948
R-HSA-6811438       SET      11      0.41495     0.024587      0.36364      0.12696
R-HSA-9830364       SET       5     -0.19707   -0.0078802      0.52088       0.6474
R-HSA-1368082       SET       5     -0.22843   -0.0091344      0.52109      0.66943
R-HSA-2122947       SET       6      0.30781     0.013481        0.473      0.25763
R-HSA-2151201       SET       6       0.2851     0.012486      0.47537      0.27437
R-HSA-2426168       SET       8    -0.097665   -0.0049375       0.4118      0.59373
R-HSA-381340        SET      11      -0.2138    -0.012668      0.35151      0.72846
R-HSA-400206        SET       4    0.0085341   0.00030527      0.58247      0.49416
R-HSA-1296052       SET       3      -1.3126    -0.040671      0.67103      0.97473
R-HSA-2142850       SET       2     0.073245    0.0018533      0.81984      0.46441
R-HSA-9753281       SET       5      0.45171     0.018063      0.52024      0.19266
R-HSA-201688        SET       2     0.015707   0.00039743      0.82248      0.49238
R-HSA-4086400       SET       2     0.015707   0.00039743      0.82248      0.49238
R-HSA-5368598       SET       3      0.70205     0.021752      0.66383      0.14517
R-HSA-9673324       SET       2     0.015707   0.00039743      0.82248      0.49238
R-HSA-110312        SET       3       0.5805     0.017986      0.48193      0.11424
R-HSA-110320        SET       3       0.5805     0.017986      0.48193      0.11424
R-HSA-174411        SET       3     -0.20695   -0.0064121      0.67253      0.62084
R-HSA-176187        SET       3       0.5805     0.017986      0.48193      0.11424
R-HSA-5651801       SET       3       0.5805     0.017986      0.48193      0.11424
R-HSA-5655862       SET       4      0.57762     0.020662      0.44535     0.097362
R-HSA-5656121       SET       4      0.39196     0.014021      0.44542      0.18947
R-HSA-5656169       SET       6      0.42052     0.018417      0.39182      0.14163
R-HSA-5685942       SET       6       0.7457     0.032659      0.39134     0.028405
R-HSA-5696397       SET       4      0.57762     0.020662      0.44535     0.097362
R-HSA-69091         SET       2     -0.44788    -0.011332      0.82367      0.70668
R-HSA-166663        SET       2      -1.1952    -0.030242      0.75463      0.94334
R-HSA-3000480       SET       3     -0.74829    -0.023185      0.67208      0.86718
R-HSA-420029        SET       3    -0.051359   -0.0015913      0.67255      0.53043
R-HSA-388844        SET       7    -0.082533   -0.0039036      0.43804      0.57472
R-HSA-9014843       SET       2      0.31263    0.0079101      0.82387      0.35219
R-HSA-399719        SET       9      0.13393    0.0071804      0.33634      0.34526
