# MEAN_SAMPLE_SIZE = 321
# TOTAL_GENES = 3123
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, sample size, inverse mac, log(gene size), log(gene density), log(sample size), log(inverse mac)
VARIABLE           TYPE  NGENES         BETA     BETA_STD           SE            P
R-HSA-2682334       SET       7     -0.11388   -0.0053861      0.44006      0.60209
R-HSA-373760        SET       4      0.55835     0.019973      0.58133      0.16844
R-HSA-3928662       SET       7       0.3353     0.015859      0.43956      0.22282
R-HSA-3928664       SET       5      0.55688     0.022268      0.52083      0.14253
R-HSA-3928665       SET      11   -0.0021407  -0.00012684      0.36379      0.50235
R-HSA-449836        SET       6     0.036808    0.0016121      0.47466       0.4691
R-HSA-8854691       SET       4     -0.52226    -0.018682       0.5819      0.81524
R-HSA-159236        SET      10     -0.49282    -0.027847      0.38311       0.9008
R-HSA-72163         SET      21     0.039028    0.0031901      0.26391      0.44122
R-HSA-72187         SET       7    -0.045368   -0.0021458      0.46598      0.53878
R-HSA-73856         SET       7    -0.045368   -0.0021458      0.46598      0.53878
R-HSA-9013418       SET       6       1.2764     0.055903      0.43635     0.001734
R-HSA-4411364       SET       4     -0.17757   -0.0063521      0.58046      0.62016
R-HSA-8941855       SET       2     0.093715    0.0023712      0.81936      0.45447
R-HSA-8941856       SET       2      0.64364     0.016286      0.82023      0.21634
R-HSA-8941858       SET       4      0.35951      0.01286      0.56829      0.26351
R-HSA-8949275       SET       4     -0.41889    -0.014984      0.56949      0.76897
R-HSA-8951430       SET       4     -0.17757   -0.0063521      0.58046      0.62016
R-HSA-8951671       SET       2     -0.43462    -0.010997      0.82029      0.70187
R-HSA-8951911       SET       2      0.12568      0.00318      0.78796      0.43664
R-HSA-8951936       SET       3     -0.33565      -0.0104      0.65265      0.69645
R-HSA-8952158       SET       2     0.093715    0.0023712      0.81936      0.45447
R-HSA-5693565       SET       8      0.58311     0.029479      0.41135     0.078215
R-HSA-1433557       SET      10     -0.19742    -0.011155       0.3684      0.70396
R-HSA-8849468       SET       3    -0.054663   -0.0016937      0.67153      0.53244
R-HSA-68616         SET       2       1.1668     0.029523      0.82317     0.078227
R-HSA-114604        SET       4      0.40126     0.014354      0.58188      0.24525
R-HSA-1433559       SET       4      0.74886     0.026788      0.58224     0.099239
R-HSA-164944        SET       3       1.0386      0.03218      0.67179       0.0611
R-HSA-202424        SET       6       0.5342     0.023396      0.47501      0.13042
R-HSA-202430        SET       2    0.0035735   9.0417e-05      0.73751      0.49807
R-HSA-202433        SET       4      0.42707     0.015277      0.54936      0.21849
R-HSA-210990        SET       5      0.55335     0.022127      0.52091       0.1441
R-HSA-2424491       SET       4     0.026445   0.00094599      0.58214      0.48188
R-HSA-389356        SET       3       1.0427     0.032308      0.77602     0.089575
R-HSA-389359        SET       3       1.0427     0.032308      0.77602     0.089575
R-HSA-389513        SET       7     -0.18507   -0.0087534      0.49453      0.64587
R-HSA-389948        SET       2      0.41508     0.010502      0.82303      0.30703
R-HSA-9013407       SET       8      0.25525     0.012905      0.39894      0.26117
R-HSA-9020558       SET       4     -0.73355     -0.02624      0.58188      0.89623
R-HSA-9670439       SET       3     0.086243    0.0026722       0.6724      0.44898
R-HSA-9706374       SET       3       1.9385     0.060063       0.6712    0.0019514
R-HSA-1362277       SET       2      0.10426     0.002638      0.82269      0.44958
R-HSA-1362300       SET       3     -0.15363   -0.0047599      0.67213      0.59039
R-HSA-1538133       SET       2      0.10426     0.002638      0.82269      0.44958
R-HSA-156711        SET       3     -0.15363   -0.0047599      0.67213      0.59039
R-HSA-212300        SET       3     -0.54648    -0.016932      0.67117      0.79221
R-HSA-2559580       SET      12     -0.51857    -0.032088      0.33532      0.93895
R-HSA-3214815       SET       5     -0.12294   -0.0049161      0.52123      0.59322
R-HSA-3214841       SET      12      0.06205    0.0038395      0.33566      0.42668
R-HSA-427389        SET       5      0.52416      0.02096      0.51949      0.15653
R-HSA-5617472       SET      11     -0.13155   -0.0077948      0.36384      0.64115
R-HSA-6804758       SET       3     -0.37938    -0.011755      0.66943      0.71453
R-HSA-69202         SET       5      0.77119     0.030838      0.43714     0.038903
