FID	IID	is_female
NA19379	NA19379	1
NA19384	NA19384	0
NA19390	NA19390	1
NA19397	NA19397	0
NA19399	NA19399	1
NA19404	NA19404	1
NA19446	NA19446	1
NA19451	NA19451	0
NA19466	NA19466	0
NA19655	NA19655	0
NA19657	NA19657	1
NA19660	NA19660	1
NA19661	NA19661	0
NA19670	NA19670	0
NA19675	NA19675	1
NA19678	NA19678	1
NA19679	NA19679	0
NA19685	NA19685	0
NA19701	NA19701	1
NA19720	NA19720	0
NA19756	NA19756	0
NA19761	NA19761	1
NA19764	NA19764	1
NA19786	NA19786	0
NA20318	NA20318	0
NA20351	NA20351	0
NA20517	NA20517	1
NA20518	NA20518	0
NA20529	NA20529	1
NA20581	NA20581	0
NA20587	NA20587	1
NA20757	NA20757	1
NA20798	NA20798	0
NA20799	NA20799	1
NA20810	NA20810	0
NA20826	NA20826	1
NA20851	NA20851	1
NA20858	NA20858	0
NA20864	NA20864	0
NA20869	NA20869	1
NA20877	NA20877	1
NA20882	NA20882	1
NA20888	NA20888	1
NA20898	NA20898	0
NA20900	NA20900	1
NA20906	NA20906	1
NA20910	NA20910	1
NA21091	NA21091	0
NA21101	NA21101	1
NA21111	NA21111	0
NA21112	NA21112	0
NA21113	NA21113	0
NA21114	NA21114	0
NA21116	NA21116	0
NA21118	NA21118	0
NA21125	NA21125	1
NA21133	NA21133	0
NA21143	NA21143	1
